DR_NO,Date_Rptd,DATE_OCC,AREA_NAME,Crm_Cd,Crm_Cd_Desc,Vict_Age,Vict_Sex,Premis_Desc,Status,Location,LAT,LON
200106224,02-02-2020,02-01-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",26,M,LA UNION STATION (NOT LINE SPECIFIC),AA,4100 S FIGUEROA ST,34.06,-118.24
200106225,02-02-2020,02-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,45,M,NIGHT CLUB (OPEN EVENINGS ONLY),IC,4900 W ADAMS BL,34.05,-118.26
200106226,02-02-2020,02-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,36,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,700 W WASHINGTON BL,34.05,-118.26
200106227,02-02-2020,02-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,19,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,2700 S SYCAMORE AV,34.05,-118.26
200106228,02-02-2020,02-01-2020,Central,624,BATTERY - SIMPLE ASSAULT,17,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,2100 OAK ST,34.05,-118.26
200106229,02-01-2020,02-01-2020,Central,330,BURGLARY FROM VEHICLE,24,M,PARKING LOT,IC,800 W ADAMS BL,34.05,-118.25
200106230,02-02-2020,02-01-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,F,RESTAURANT/FAST FOOD,IC,10900 WELLWORTH AV,34.05,-118.26
200106231,02-02-2020,02-01-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,HOTEL,IC,3500 S FLOWER ST,34.04,-118.26
200106232,02-02-2020,01-12-2020,Central,354,THEFT OF IDENTITY,27,M,OTHER PREMISE,IC,2400 S VERMONT AV,34.05,-118.26
200106236,02-02-2020,02-02-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,MUNICIPAL BUS LINE INCLUDES LADOT/DASH,IC,1100 W 39TH PL,34.05,-118.26
200106237,02-02-2020,02-01-2020,Central,330,BURGLARY FROM VEHICLE,25,F,STREET,IC,2300 W 48TH ST,34.04,-118.27
200106238,02-02-2020,02-01-2020,Central,330,BURGLARY FROM VEHICLE,25,F,PARKING LOT,IC,4600 MARTIN LUTHER KING BL,34.04,-118.25
200106239,02-02-2020,02-02-2020,Central,350,"THEFT, PERSON",22,F,NIGHT CLUB (OPEN EVENINGS ONLY),IC,2000 W MARTIN LUTHER KING JR BL,34.04,-118.26
200106242,02-02-2020,02-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,23,M,STREET,IC,17800 MARGATE ST,34.05,-118.23
200106245,02-02-2020,02-01-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),0,M,STREET,IC,5000 OBAMA BL,34.05,-118.25
200106246,02-02-2020,02-01-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),27,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,ADAMS BL,34.04,-118.26
200106253,02-02-2020,02-01-2020,Central,510,VEHICLE - STOLEN,0,F,STREET,IC,3900 S BUDLONG AV,34.04,-118.26
200106257,02-02-2020,02-02-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,IC,02900 S LA BREA AV,34.05,-118.26
200106266,02-02-2020,02-02-2020,Central,623,BATTERY POLICE (SIMPLE),40,M,SIDEWALK,AA,2500 S FIGUEROA ST,34.05,-118.25
200106270,02-02-2020,02-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),38,M,RESTAURANT/FAST FOOD,IC,3600 WATT WY,34.06,-118.23
200812870,08-11-2020,08-02-2020,West LA,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22,F,SINGLE FAMILY DWELLING,IC,3600 S SAINT ANDREWS PL,34.05,-118.44
201113281,09-04-2020,09-02-2020,Northeast,310,BURGLARY,37,F,GARAGE/CARPORT,IC,3600 S SAINT ANDREWS PL,34.09,-118.28
200106283,02-02-2020,02-01-2020,Central,330,BURGLARY FROM VEHICLE,28,M,PARKING LOT,IC,4300 BRIGHTON AV,34.04,-118.26
200106285,02-02-2020,02-02-2020,Central,888,TRESPASSING,0,F,MUSEUM,IC,2400 W 48TH ST,34.05,-118.25
200106288,02-02-2020,02-01-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,F,PARKING LOT,IC,2700 S FIGUEROA ST,34.05,-118.23
200106289,02-02-2020,02-01-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",73,M,SIDEWALK,AA,4800 7TH AV,34.04,-118.26
200106290,02-02-2020,02-02-2020,Central,920,KIDNAPPING - GRAND ATTEMPT,12,M,SIDEWALK,IC,4100 PALMWOOD DR,34.05,-118.24
201226350,12-05-2020,12-05-2020,77th Street,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,STREET,AO,600 W 42ND PL,33.99,-118.31
200106293,02-02-2020,02-02-2020,Central,330,BURGLARY FROM VEHICLE,24,M,STREET,IC,OBAMA BL,34.04,-118.27
200218546,12-12-2020,12-11-2020,Rampart,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),42,M,"VEHICLE, PASSENGER/TRUCK",AO,SANTA MONICA FY,34.06,-118.26
200106300,02-02-2020,02-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),59,F,STREET,IC,3500 S LA CIENEGA BL,34.05,-118.25
200106301,02-02-2020,02-02-2020,Central,310,BURGLARY,32,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,7TH AV,34.06,-118.25
200106305,02-03-2020,02-03-2020,Central,350,"THEFT, PERSON",37,M,SIDEWALK,IC,2700 RAYMOND AV,34.04,-118.25
200106308,02-03-2020,02-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,33,M,MTA - RED LINE - CIVIC CENTER/GRAND PARK,IC,2100 W 29TH PL,34.05,-118.25
200106309,02-03-2020,02-02-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),25,M,"VEHICLE, PASSENGER/TRUCK",IC,3500 S LA CIENEGA BL,34.05,-118.25
200106375,02-03-2020,01-03-2020,Central,624,BATTERY - SIMPLE ASSAULT,53,F,OTHER BUSINESS,IC,3400 EXPOSITION BL,34.05,-118.26
200106443,02-05-2020,02-04-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),50,M,LIBRARY,IC,4100 PALMWOOD DR,34.05,-118.25
200106445,02-05-2020,02-04-2020,Central,210,ROBBERY,61,F,SIDEWALK,IC,1100 W 39TH ST,34.04,-118.25
200106312,02-03-2020,02-03-2020,Central,624,BATTERY - SIMPLE ASSAULT,26,M,STREET,IC,2500 CLYDE AV,34.05,-118.26
200106318,02-03-2020,01-07-2020,Central,330,BURGLARY FROM VEHICLE,29,M,STREET,IC,5400 GEER AV,34.04,-118.26
200106319,02-01-2020,02-01-2020,Central,480,BIKE - STOLEN,44,M,OTHER/OUTSIDE,IC,5500 CARLIN ST,34.04,-118.26
200106320,02-02-2020,02-02-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),18,M,RESTAURANT/FAST FOOD,IC,900 W JEFFERSON BL,34.05,-118.26
200106321,02-03-2020,02-02-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,HORSE RACING/SANTA ANITA PARK*,IC,1100 W 28TH ST,34.05,-118.24
200106327,02-03-2020,02-02-2020,Central,330,BURGLARY FROM VEHICLE,24,M,PARKING UNDERGROUND/BUILDING,IC,24100 GILMORE ST,34.04,-118.26
201813529,07-05-2020,07-05-2020,Southeast,624,BATTERY - SIMPLE ASSAULT,22,F,DRIVEWAY,AA,5000 OBAMA BL,33.96,-118.26
200106330,02-03-2020,02-03-2020,Central,624,BATTERY - SIMPLE ASSAULT,27,F,MTA BUS,IC,1200 W 37TH PL,34.05,-118.25
200106331,02-03-2020,02-03-2020,Central,330,BURGLARY FROM VEHICLE,29,F,STREET,IC,4200 S HARVARD BL,34.05,-118.23
200106333,02-03-2020,02-03-2020,Central,480,BIKE - STOLEN,42,M,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",IC,1600 W 38TH ST,34.05,-118.24
200106340,02-03-2020,02-01-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,OTHER STORE,IC,2800 W 42ND ST,34.05,-118.26
200106343,02-03-2020,02-01-2020,Central,648,ARSON,56,F,DRIVEWAY,IC,3700 SANTA ROSALIA DR,34.04,-118.25
200106345,02-03-2020,02-03-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",42,M,STREET,AA,BRONSON AV,34.06,-118.24
200106346,02-03-2020,02-03-2020,Central,850,INDECENT EXPOSURE,72,F,LIBRARY,IC,5300 BLACKWELDER ST,34.05,-118.25
200106347,02-03-2020,02-03-2020,Central,850,INDECENT EXPOSURE,25,F,LIBRARY,IC,2600 RAYMOND AV,34.05,-118.25
200106350,02-03-2020,02-03-2020,Central,624,BATTERY - SIMPLE ASSAULT,73,F,SIDEWALK,IC,VERNON AV,34.04,-118.25
200106356,02-03-2020,02-03-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),49,M,OTHER STORE,IC,37TH ST,34.05,-118.24
200711295,07-06-2020,07-05-2020,Wilshire,510,VEHICLE - STOLEN,0,,STREET,IC,1100 W 35TH ST,34.09,-118.35
201108111,04-07-2020,04-07-2020,Northeast,624,BATTERY - SIMPLE ASSAULT,70,F,SINGLE FAMILY DWELLING,AO,JEFFERSON BL,34.13,-118.2
200106377,02-03-2020,02-02-2020,Central,624,BATTERY - SIMPLE ASSAULT,22,M,NIGHT CLUB (OPEN EVENINGS ONLY),IC,3800 LOCKLAND DR,34.05,-118.25
200106381,02-03-2020,02-03-2020,Central,666,"BUNCO, ATTEMPT",28,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,4100 S HOOVER ST,34.05,-118.25
200106382,02-03-2020,02-02-2020,Central,330,BURGLARY FROM VEHICLE,26,M,"TRUCK, COMMERICAL",IC,3000 ALSACE AV,34.05,-118.25
200106383,02-03-2020,02-03-2020,Central,330,BURGLARY FROM VEHICLE,23,M,PARKING LOT,IC,29TH,34.04,-118.26
200106386,02-04-2020,02-03-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),41,M,LA UNION STATION (NOT LINE SPECIFIC),IC,1000 BAY VIEW AV,34.06,-118.23
200106389,02-03-2020,02-01-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),26,F,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,4500 MARTIN LUTHER KING JR BL,34.05,-118.25
200106395,02-02-2020,02-01-2020,Central,330,BURGLARY FROM VEHICLE,31,M,"VEHICLE, PASSENGER/TRUCK",IC,4000 WEST BL,34.04,-118.26
200106409,02-04-2020,01-04-2020,Central,662,"BUNCO, GRAND THEFT",67,M,OTHER RESIDENCE,IC,4000 CRENSHAW BL,34.06,-118.24
200106410,02-04-2020,02-03-2020,Central,662,"BUNCO, GRAND THEFT",67,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,2300 W JEFFERSON BL,34.06,-118.24
200106412,02-04-2020,02-03-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,HEALTH SPA/GYM,IC,1600 W 35TH ST,34.05,-118.26
200106414,02-04-2020,02-04-2020,Central,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",28,F,OTHER RESIDENCE,IC,700 W 30TH ST,34.04,-118.25
200106420,02-04-2020,02-03-2020,Central,330,BURGLARY FROM VEHICLE,51,F,STREET,IC,5000 EXPOSITION BL,34.04,-118.27
200106425,02-04-2020,02-04-2020,Central,623,BATTERY POLICE (SIMPLE),0,M,STREET,IC,7300 SAUSALITO AV,34.05,-118.23
200505554,02-07-2020,02-06-2020,Harbor,510,VEHICLE - STOLEN,0,F,STREET,IC,16100 VANOWEN ST,33.75,-118.3
200915605,10-06-2020,10-06-2020,Van Nuys,354,THEFT OF IDENTITY,33,M,PARKING LOT,IC,400 N EVERGREEN AV,34.16,-118.44
200106479,02-04-2020,02-03-2020,Central,330,BURGLARY FROM VEHICLE,46,M,PARKING LOT,IC,13400 TERRA BELLA ST,34.05,-118.25
200106427,02-04-2020,02-04-2020,Central,624,BATTERY - SIMPLE ASSAULT,52,M,SIDEWALK,IC,19100 JOVAN ST,34.04,-118.25
200106446,02-04-2020,02-04-2020,Central,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,X,STREET,IC,1900 SELBY AV,34.05,-118.24
200106448,02-04-2020,02-04-2020,Central,351,PURSE SNATCHING,56,F,SIDEWALK,IC,100 W AVENUE 44,34.06,-118.24
200106449,02-05-2020,02-05-2020,Central,888,TRESPASSING,40,M,TUNNEL,IC,5900 MONTEREY RD,34.05,-118.25
200106450,02-04-2020,02-04-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,DEPARTMENT STORE,IC,5600 W SUNSET BL,34.05,-118.26
200106452,02-04-2020,02-04-2020,Central,310,BURGLARY,57,F,JEWELRY STORE,IC,1300 MIDVALE AV,34.05,-118.25
200106453,02-04-2020,02-04-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),23,M,SIDEWALK,IC,EDGEMONT,34.05,-118.26
200513966,09-08-2020,09-04-2020,Harbor,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,M,CHURCH/CHAPEL (CHANGED 03-03 FROM CHURCH/TEMPLE),IC,10700 WEYBURN AV,33.74,-118.29
200106460,02-04-2020,02-04-2020,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),31,F,CLOTHING STORE,IC,WILSHIRE,34.05,-118.26
200107002,02-12-2020,02-11-2020,Central,330,BURGLARY FROM VEHICLE,28,M,STREET,IC,9900 SATICOY ST,34.05,-118.25
200106463,02-04-2020,02-04-2020,Central,310,BURGLARY,26,M,BAR/SPORTS BAR (OPEN DAY & NIGHT),IC,5900 SPELTHORNE LN,34.06,-118.24
200516175,11-04-2020,11-04-2020,Harbor,510,VEHICLE - STOLEN,0,F,PARKING LOT,IC,CHEROKEE,33.8,-118.3
200813946,09-10-2020,09-08-2020,West LA,310,BURGLARY,66,F,SINGLE FAMILY DWELLING,IC,600 N SAN FERNANDO RD,34.04,-118.4
200106478,02-03-2020,02-03-2020,Central,330,BURGLARY FROM VEHICLE,39,M,PARKING LOT,IC,2700 S GRAND AV,34.05,-118.26
200106480,02-04-2020,02-03-2020,Central,330,BURGLARY FROM VEHICLE,32,M,STREET,IC,700 IMOGEN AV,34.04,-118.25
200106484,02-05-2020,02-05-2020,Central,761,BRANDISH WEAPON,63,M,SIDEWALK,IC,ROSALIND PL,34.06,-118.24
200106485,02-05-2020,02-01-2020,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,M,SIDEWALK,IC,GRAND AV,34.04,-118.26
200106488,02-05-2020,02-05-2020,Central,510,VEHICLE - STOLEN,0,M,STREET,IC,10300 COMPTON AV,34.07,-118.23
200106492,02-05-2020,02-04-2020,Central,330,BURGLARY FROM VEHICLE,58,F,PARKING UNDERGROUND/BUILDING,IC,1300 W C ST,34.04,-118.26
200106494,02-05-2020,02-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,58,M,LAUNDROMAT,IC,2900 W OLYMPIC BL,34.04,-118.24
200106495,02-04-2020,02-04-2020,Central,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),24,M,OTHER STORE,IC,10900 SANTA MONICA BL,34.05,-118.26
200106500,02-05-2020,02-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,25,F,SIDEWALK,IC,5000 OBAMA BL,34.04,-118.24
200106501,02-05-2020,02-04-2020,Central,310,BURGLARY,61,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,3100 S FIGUEROA ST,34.04,-118.25
200106507,02-05-2020,02-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,23,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,3900 URSULA AV,34.04,-118.24
200106514,02-05-2020,02-05-2020,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",45,M,STREET,IC,4000 ABOURNE RD,34.04,-118.25
200705720,02-05-2020,02-01-2020,Wilshire,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,OTHER BUSINESS,IC,1000 W 34TH ST,34.07,-118.37
200106516,02-05-2020,02-05-2020,Central,330,BURGLARY FROM VEHICLE,33,M,STREET,IC,126TH ST,34.07,-118.24
200106517,02-05-2020,02-05-2020,Central,330,BURGLARY FROM VEHICLE,78,F,GARAGE/CARPORT,IC,400 S SOTO ST,34.05,-118.26
211104260,01-08-2021,12-02-2020,Northeast,310,BURGLARY,0,X,OFFICE BUILDING/OFFICE,AO,700 STATE DR,34.11,-118.24
200106519,02-05-2020,02-05-2020,Central,330,BURGLARY FROM VEHICLE,24,F,STREET,IC,3700 CARMONA AV,34.05,-118.24
200106520,02-05-2020,02-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,43,M,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",IC,5100 OBAMA BL,34.05,-118.26
200106526,02-05-2020,02-05-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,DEPARTMENT STORE,IC,4300 3RD AV,34.05,-118.26
200106527,02-05-2020,02-04-2020,Central,480,BIKE - STOLEN,27,M,STREET,IC,4700 7TH AV,34.05,-118.26
200106531,02-05-2020,02-05-2020,Central,624,BATTERY - SIMPLE ASSAULT,49,M,OTHER STORE,IC,3600 W MARTIN LUTHER KING JR BL,34.05,-118.26
200106534,02-05-2020,02-05-2020,Central,888,TRESPASSING,0,X,LA UNION STATION (NOT LINE SPECIFIC),IC,1600 W MARTIN LUTHER KING BL,34.06,-118.24
200106547,02-05-2020,02-04-2020,Central,330,BURGLARY FROM VEHICLE,62,M,PARKING LOT,IC,4300 S FIGUEROA ST,34.05,-118.26
200106548,02-06-2020,02-05-2020,Central,330,BURGLARY FROM VEHICLE,35,M,ABANDONED BUILDING ABANDONED HOUSE,IC,BUCKINGHAM,34.07,-118.23
200709141,05-11-2020,05-11-2020,Wilshire,440,THEFT PLAIN - PETTY ($950 & UNDER),48,M,PHARMACY INSIDE STORE OR SUPERMARKET*,IC,KENILWORTH AV,34.08,-118.35
200605994,02-11-2020,02-10-2020,Hollywood,440,THEFT PLAIN - PETTY ($950 & UNDER),31,F,YARD (RESIDENTIAL/BUSINESS),IC,3900 S VAN NESS AV,34.1,-118.3
200106584,02-06-2020,02-06-2020,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",57,M,MTA PROPERTY OR PARKING LOT,IC,1100 HARTZELL ST,34.07,-118.23
200106593,02-06-2020,02-06-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,OTHER STORE,IC,4100 S BUDLONG AV,34.05,-118.26
201105686,02-08-2020,02-07-2020,Northeast,440,THEFT PLAIN - PETTY ($950 & UNDER),0,M,OTHER BUSINESS,IC,FIGUEROA ST,34.14,-118.23
200106598,02-06-2020,02-06-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,1200 W 39TH ST,34.05,-118.26
200106599,02-06-2020,02-06-2020,Central,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,X,DEPARTMENT STORE,IC,VERNON AV,34.05,-118.26
200106600,02-06-2020,02-06-2020,Central,624,BATTERY - SIMPLE ASSAULT,56,F,SIDEWALK,IC,4200 S WESTERN AV,34.04,-118.24
200106604,02-07-2020,02-06-2020,Central,888,TRESPASSING,0,M,LA UNION STATION (NOT LINE SPECIFIC),IC,4000 SANTO TOMAS DR,34.06,-118.24
200106606,02-07-2020,02-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,75,F,SIDEWALK,IC,600 EXPOSITION BL,34.04,-118.24
200106608,02-07-2020,02-07-2020,Central,510,VEHICLE - STOLEN,0,M,STREET,IC,1400 W 37TH DR,34.05,-118.25
200106614,02-07-2020,02-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,33,M,SIDEWALK,IC,2400 ELLENDALE PL,34.05,-118.26
200106615,02-07-2020,02-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,25,M,SIDEWALK,IC,39TH PL,34.05,-118.26
200106616,02-07-2020,02-07-2020,Central,624,BATTERY - SIMPLE ASSAULT,35,M,OTHER STORE,IC,2500 W VERNON AV,34.05,-118.25
200106617,02-07-2020,01-10-2020,Central,510,VEHICLE - STOLEN,0,F,PARKING LOT,IC,700 EXPOSITION BL,34.05,-118.25
200106618,02-07-2020,02-03-2020,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),72,M,"VEHICLE, PASSENGER/TRUCK",IC,2600 S FIGUEROA ST,34.05,-118.24
